track_name,track_artist,track_album_name,track_album_release_date,playlist_genre
Get It On,T. Rex,Get It On: The Collection,2011-01-01,rock
Won't Get Fooled Again - Original Album Version,The Who,Greatest Hits,2009-12-21,rock
Pinball Wizard - Original Album Version,The Who,Greatest Hits,2009-12-21,rock
Ramble On - 1990 Remaster,Led Zeppelin,Led Zeppelin II,1969-10-22,rock
Immigrant Song - 1990 Remaster,Led Zeppelin,Led Zeppelin III,1970-10-05,rock
Trampled Under Foot - 2007 Remastered Version,Led Zeppelin,Mothership,2007,rock
Fool in the Rain,Led Zeppelin,In Through The Out Door,1979-08-15,rock
The Rover - 1993 Remaster,Led Zeppelin,Physical Graffiti,1975-02-24,rock
Tomorrow's Dream,Black Sabbath,Black Sabbath Vol. 4 (Remastered),1972-09-25,rock
After Forever,Black Sabbath,Master Of Reality (Remastered),1971-07-21,rock
Looking for Today,Black Sabbath,Sabbath Bloody Sabbath (Remastered),1973-12-01,rock
It's Alright,Black Sabbath,Technical Ecstasy (Remastered),1976-09-25,rock
Diamonds and Rust,Judas Priest,Original Album Classics,2009-09-25,rock
Beyond the Realms of Death,Judas Priest,Stained Class,1978-10-27,rock
Starbreaker,Judas Priest,Sin After Sin,1977-11-15,rock
Almost Human,KISS,IKONS,2008-10-21,rock
Parasite,KISS,IKONS,2008-10-21,rock
Love Gun,KISS,IKONS,2008-10-21,rock
I Stole Your Love,KISS,IKONS,2008-10-21,rock
Stranglehold,Ted Nugent,The Essential Ted Nugent,2010-10-26,rock
Cat Scratch Fever,Ted Nugent,The Essential Ted Nugent,2010-10-26,rock
Motor City Madhouse,Ted Nugent,The Essential Ted Nugent,2010-10-26,rock
Carry on Wayward Son,Kansas,The Essential Kansas,2010,rock
Bad Company (Remastered Album Version),Bad Company,Bad Company,1974,rock
Can't Get Enough (Remastered Album Version),Bad Company,Bad Company,1974,rock
Shooting Star (Remastered Album Version),Bad Company,Straight Shooter,1975,rock
Rock the Nation - Remastered,Montrose,The Very Best Of Montrose,2000,rock
Bad Motor Scooter - Remastered LP Verison,Montrose,The Very Best Of Montrose,2000,rock
Space Station #5 - Remastered,Montrose,The Very Best Of Montrose,2000,rock
Rock Candy - Remastered LP Verison,Montrose,The Very Best Of Montrose,2000,rock
All Right Now,Free,All Right Now: The Collection,2012-01-01,rock
Heartbreaker,Free,All Right Now: The Collection,2012-01-01,rock
Same Old Song and Dance,Aerosmith,Aerosmith's Greatest Hits,1980-11-11,rock
Sweet Emotion - Single Version,Aerosmith,Aerosmith's Greatest Hits,1980-11-11,rock
Last Child,Aerosmith,Aerosmith's Greatest Hits,1980-11-11,rock
Dream Police,Cheap Trick,The Essential Cheap Trick,2004-03-02,rock
Voices,Cheap Trick,The Essential Cheap Trick,2004-03-02,rock
Wheel in the Sky,Journey,Infinity,1978,rock
Majestic,Journey,Evolution,1979,rock
Crazy On You,Heart,Greatest Hits,1998,rock
Magic Man,Heart,Greatest Hits,1998,rock
Feels like the First Time,Foreigner,Foreigner (Expanded),1977-03-08,rock
Time Machine,Grand Funk Railroad,Greatest Hits: Grand Funk Railroad (Remastered),2006-01-01,rock
"American Woman - 7"" Version",The Guess Who,The Best Of The Guess Who,1971,rock
No Sugar Tonight,The Guess Who,The Best Of The Guess Who,1971,rock
Nothing Else Matters,Metallica,Metallica,1991-08-12,rock
Pour Some Sugar On Me,Def Leppard,Hysteria (Deluxe Edition),1987,rock
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,1987-01-01,rock
Livin' On A Prayer,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Int'l Deluxe Package),2010-01-01,rock
Paradise City,Guns N' Roses,Appetite For Destruction,1987-01-01,rock
Walk This Way,Aerosmith,The Essential Aerosmith,2011-09-13,rock
Heaven's On Fire,KISS,Discoveries,2008-10-20,rock
Home Sweet Home,Mötley Crüe,Theatre of Pain,1985,rock
I Wanna Rock (Remastered Album Version),Twisted Sister,Stay Hungry [Deluxe 25th Anniversary Edition],2009-06-29,rock
Living After Midnight,Judas Priest,Original Album Classics,2009-09-25,rock
Jump - Remastered Version,Van Halen,The Best Of Both Worlds (US Release),2004-07-13,rock
Here I Go Again 87 - 2008 Remaster,Whitesnake,Here I Go Again '87,1987,rock
Dude (Looks Like a Lady),Aerosmith,The Essential Aerosmith,2011-09-13,rock
Dr. Feelgood,Mötley Crüe,Dr. Feelgood,1989,rock
Cat Scratch Fever,Ted Nugent,Cat Scratch Fever,1977-02-26,rock
Godzilla,Blue Öyster Cult,Spectres,1977,rock
Heaven And Hell,Black Sabbath,Heaven & Hell (Deluxe Edition),1980-04-25,rock
He's Back (The Man Behind The Mask),Alice Cooper,Constrictor,1986-01-01,rock
Barracuda,Heart,Little Queen,1977-05-14,rock
Tom Sawyer,Rush,Moving Pictures,1981-02-12,rock
School's Out,Alice Cooper,School's Out,1972,rock
I'm Eighteen,Alice Cooper,Love It To Death,1971,rock
(Don't Fear) The Reaper - Single Version,Blue Öyster Cult,The Singles Collection,2005,rock
Seek & Destroy,Metallica,Kill 'Em All,1983-07-25,rock
Paranoid,Black Sabbath,Paranoid,1970-09-18,rock
Kashmir - 1990 Remaster,Led Zeppelin,Physical Graffiti,1975-02-24,rock
The Boys Are Back In Town,Thin Lizzy,Jailbreak (Deluxe Edition),1976,rock
The Spirit Of Radio,Rush,Permanent Waves,1980-01-01,rock
Stairway to Heaven - 1990 Remaster,Led Zeppelin,Led Zeppelin IV,1971-11-08,rock
Symphony Of Destruction,Megadeth,Countdown To Extinction,1992-07-14,rock
Crazy Crazy Nights,KISS,Old Skool Of Rock,2007-06-08,rock
Doctor Doctor,UFO,Phenomenon,1974,rock
Lights Out - 2008 Remastered Version,UFO,Lights Out,1977,rock
Love In An Elevator - Single Version,Aerosmith,Tough Love: The Best Of The Ballads (International Version),2011-01-01,rock
Panama,Van Halen,1984,1984-01-03,rock
Is This Love - 2007 Remastered Version,Whitesnake,1987,1987-04-04,rock
Runaway,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Int'l Deluxe Package),2010-01-01,rock
Rainbow In The Dark,Dio,Holy Diver (Deluxe Edition),1983,rock
"Motley Crue/Girls, Girls,1,1GlAcBLB4RlJtP8WngEgq1, Girls"
Tush,ZZ Top,ZZ Top's Greatest Hits,1992-04-13,rock
Kickstart My Heart,Mötley Crüe,Dr. Feelgood,1989,rock
Iron Man,Black Sabbath,Greatest Hits,2009,rock
Run to the Hills - 1998 Remaster,Iron Maiden,Somewhere Back in Time (The Best of 1980 - 1989),2008-04-07,rock
The Trooper - 1998 Remaster,Iron Maiden,Somewhere Back in Time (The Best of 1980 - 1989),2008-04-07,rock
One,Metallica,...And Justice For All,1988-08-25,rock
Purple Haze,Jimi Hendrix,Are You Experienced,1967-05-12,rock
Out In The Fields - Remastered 2002,Gary Moore,The Platinum Collection,2006,rock
You Give Love A Bad Name,Bon Jovi,Bon Jovi Greatest Hits,2010-01-01,rock
Dream On,Aerosmith,The Essential Aerosmith,2011-09-13,rock
Eye of the Tiger,Survivor,80s 100 Hits,2010-02-26,rock
Over The Hills And Far Away,Gary Moore,Out In The Fields - The Very Best Of Gary Moore,1998-01-01,rock
Highway Star - Remastered 2012,Deep Purple,Machine Head (Remastered),1972-03-25,rock
Bedside Radio - Remastered,Krokus,The Definitive Collection,2000-02-21,rock
Rock the Nation,Montrose,Montrose,1973,rock
Armed and Ready - 2009 Remastered Version,Michael Schenker Group,Michael Schenker Group [2009 Digital Remaster + Bonus Tracks] (2009 Digital Remaster + Bonus Tracks),2009-01-16,rock
Bark at the Moon,Ozzy Osbourne,The Essential Ozzy Osbourne,2003,rock
Detroit Rock City - Edit,KISS,The Very Best Of Kiss,2002-01-01,rock
Lick It Up,KISS,Lick It Up (Remastered Version),1983-09-18,rock
Whiskey In The Jar,Thin Lizzy,Wild One - The Very Best Of Thin Lizzy (Remastered Version),1996-01-01,rock
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,70s Classic Rock,1998-12-13,rock
Easy Livin',Uriah Heep,Demons and Wizards (Expanded Deluxe Edition),1972,rock
Hair of the Dog,Nazareth,Hair Of The Dog,2010-02-15,rock
Whatever You Want,Status Quo,Whatever You Want,1979,rock
Since You Been Gone,Rainbow,Anthology,2009-01-01,rock
Turbo Lover,Judas Priest,The Chosen Few,2011-10-07,rock
Wind Of Change,Scorpions,Old Skool Of Rock,2007-06-08,rock
The Unforgiven,Metallica,Metallica,1991-08-12,rock
Still Of The Night,Whitesnake,Whitesnake's Greatest Hits,1994-07-04,rock
Janie's Got A Gun - Single Version,Aerosmith,Young Lust: The Aerosmith Anthology,2001-11-20,rock
"Mama, I'm Coming Home",0FFbguUto5ZWRVMN2r9ZCm,The Ozzman Cometh,1NIX36ZFWEtgXSbSNghoue
Why Can't This Be Love - 2004 Remaster,Van Halen,The Very Best of Van Halen (UK Release),2004,rock
When the Children Cry - 2006 Remaster,White Lion,Definitive Rock: White Lion,2007-04-02,rock
Love Hurts,Nazareth,The Singles,2012-02-20,rock
Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,1987-01-01,rock
Holy Diver,Dio,Holy Diver (Deluxe Edition),1983,rock
Shout It Out Loud,KISS,Destroyer (Remastered Version),1976-03-15,rock
Owner of a Lonely Heart,Yes,90125 (Deluxe Version),1983-06-01,rock
Crawling In The Dark,Hoobastank,Hoobastank,2001-01-01,rock
The Hell Song,Sum 41,Does This Look Infected?,2002-01-01,rock
Judith,A Perfect Circle,Mer De Noms,2000-01-01,rock
Not Falling,Mudvayne,The End Of All Things To Come,2002-11-12,rock
Still Frame,Trapt,Trapt,2002-11-05,rock
Poem,Taproot,Welcome,2002-09-30,rock
Bleed American,Jimmy Eat World,Bleed American (Deluxe Edition),2001,rock
Meant to Live,Switchfoot,The Best Yet,2008-10-31,rock
Blurry,Puddle Of Mudd,Come Clean,2001-01-01,rock
Aerials,System Of A Down,Toxicity,2001-09-04,rock
Miss Murder,AFI,DECEMBERUNDERGROUND,2006-06-06,rock
Nice to Know You,Incubus,Morning View,2001-10-23,rock
By My Side,3 Doors Down,The Better Life,2000,rock
Loser,3 Doors Down,The Better Life,2000,rock
Rope,Foo Fighters,Wasting Light,2011-04-12,rock
Outside,Foo Fighters,Sonic Highways,2014-11-09,rock
Whatever,Godsmack,Godsmack,1998-01-01,rock
Bad Religion,Godsmack,Godsmack,1998-01-01,rock
Given Up,Linkin Park,Minutes to Midnight,2007-05-14,rock
Alive - 2006 Remaster,P.O.D.,Greatest Hits [The Atlantic Years],2006-10-27,rock
Prayer Of The Refugee,Rise Against,The Sufferer & The Witness,2006-01-01,rock
Sinner,Drowning Pool,Sinner,2001-01-01,rock
Slither,Velvet Revolver,Contraband,2004,rock
Paper Airplanes (Makeshift Wings),AFI,Sing The Sorrow,2003,rock
Lifelong Dayshift,Middle Class Rut,No Name No Color,2010-10-04,rock
Heartbreaker,Her Bright Skies,Causing A Scene,2010-03-24,rock
Chop Suey!,System Of A Down,Toxicity,2001-09-04,rock
Denial,Sevendust,Home,1999-08-24,rock
Control,Puddle Of Mudd,Come Clean,2001-01-01,rock
Just Like You,Three Days Grace,Three Days Grace,2003-04-19,rock
Lying from You,Linkin Park,Meteora (Bonus Edition),2003-03-24,rock
Megalomaniac,Incubus,A Crow Left Of The Murder...,2004-02-03,rock
Break Stuff,Limp Bizkit,Significant Other,1999,rock
Your Disease,Saliva,Every Six Seconds,2001-01-01,rock
Stupify,Disturbed,The Sickness,2000-02-25,rock
Southtown,P.O.D.,The Fundamental Elements Of Southtown,1999,rock
Pardon Me,Incubus,Make Yourself,1999-10-26,rock
Stellar,Incubus,Make Yourself,1999-10-26,rock
Somewhere I Belong,Linkin Park,Meteora (Bonus Edition),2003-03-24,rock
Stand Up,Trapt,Someone In Control,2005-01-01,rock
Joker And The Thief,Wolfmother,Wolfmother,2006-01-01,rock
Woman,Wolfmother,Wolfmother,2006-01-01,rock
The Pot,TOOL,"10,000 Days",0EmGNFBBgqLmvdQGPbgiMp
Schism,TOOL,Lateralus,2001-05-15,rock
Parabola,TOOL,Lateralus,2001-05-15,rock
Silverskin,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Recognise,Lost Frequencies,Recognise,2019-03-08,latin
Handful Of Gold - Hounded Remix,CAZZETTE,Handful Of Gold (Remixes II),2017-07-21,latin
Messiah,Klingande,Messiah (The Mixes),2019-10-18,latin
Never Alone,Felix Jaehn,Never Alone,2019-09-27,latin
Better Off Alone,Y.V.E. 48,Better Off Alone,2019-10-18,latin
All or Nothing - Sultan + Shepard Remix,Lost Frequencies,All Or Nothing (Remixes Part 2),2017-05-05,latin
Are You Mine,Alex Schulz,Are You Mine,2019-05-31,latin
Tear Me Down (feat. Philip Rustad),Davai,Tear Me Down (feat. Philip Rustad),2019-09-20,latin
Electric Feel (Kygo Remix),Henry Green,Electric Feel,2017-08-09,latin
Déjà Vu,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Beat Of My Heart,Lost Frequencies,Alive And Feeling Fine,2019-10-04,latin
We Start Fires,Little Giants,We Start Fires,2016-10-21,latin
What I'd Give,LVNDSCAPE,What I'd Give,2019-09-13,latin
Whatever You Like - Radio Edit,Dasco,Whatever You Like,2018-02-23,latin
Save Tonight,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Awa Ni,The Knocks,Awa Ni,2019-06-21,latin
Baianá,Bakermat,Baianá,2019-07-26,latin
Ha Leh Lou Ya,Robin Schulz,Uncovered,2017-09-29,latin
Illuminate,AINT,Illuminate,2019-07-26,latin
I'll Be Back,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Skyline,Möwe,Skyline,2017-05-19,latin
44th and 8th,Sean Bradford,44th and 8th,2017-01-13,latin
Love That We Need,Silience,Love That We Need,2016-12-15,latin
Pumped Up,Klingande,Pumped Up,2017-09-08,latin
Blackbird,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Midnight Sky,Sol Calor,Midnight Sky,2017-02-10,latin
Tired - Kygo Remix,Alan Walker,Tired (Kygo Remix),2017-07-14,latin
Breathin' (feat. Cara Hughes),Bortharm,Breathin' (feat. Cara Hughes),2016-08-05,latin
Moment,Sander W.,Moment,2019-10-14,latin
Wishing Well,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Baby,Bakermat,Baby,2017-01-27,latin
Boy Oh Boy,Möwe,Back In The Summer,2016-11-04,latin
Himalaya,LVNDSCAPE,V EP,2016-09-02,latin
Rivers - Sam Feldt & De Hofnar Remix,Thomas Jack,Rivers (Remixes),2015-10-29,latin
Show Me Love - EDX Remix / Radio Edit,Sam Feldt,Show Me Love (Remixes 2),2015-07-24,latin
Rebel Yell,Klingande,Rebel Yell,2018-06-01,latin
Better,Hot Shade,Better,2017-05-05,latin
Moments,Klangkarussell,Netzwerk (Deluxe),2014-07-28,latin
Start A Riot - Thundatraxx Remix,BANNERS,Start A Riot (Remixes),2016-07-22,latin
Chasing After You,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Never Gonna Give You Up,Mac Beez,Never Gonna Give You Up,2017-01-13,latin
Seve - Radio Edit,Tez Cadey,Seve (Radio Edit),2015-01-26,latin
Above the Clouds,Robin Schulz,Uncovered,2017-09-29,latin
Wild Church,Kungs,Layers,2016-11-04,latin
Be My Lover,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Don't Let Go,Viva La Panda,Don't Let Go,2019-10-23,latin
Too Good,A&G,Too Good,2016-11-14,latin
Tonight and Every Night,Robin Schulz,Uncovered,2017-09-29,latin
Oxas,GAMPER & DADONI,Oxas,2013-09-13,latin
High And Low,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Grow Up,Bolier,Grow Up,2018-06-01,latin
Panamalu,Fabio Carry,Panamalu,2015-10-22,latin
Heatwave (feat. Akon) - HUGEL Remix,Robin Schulz,Heatwave (feat. Akon) [The Remixes],2016-06-17,latin
Somebody Else,Zonoma,Somebody Else,2017-01-13,latin
Leave Me Alone,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Dizzy,Dimmi,Promesses,2014-02-17,latin
Seduction,Boris Way,Seduction,2016-12-20,latin
Regulate - Le Boeuf Remix,Warren G,Remix The Classics (Vol. 4),2016-12-09,latin
We Turn The World Around,Tanja La Croix,We Turn The World Around,2016-08-03,latin
Freak - Sam Feldt Remix Edit,R3HAB,Freak,2016-05-10,latin
Miami 82 - Kygo Remix,Syn Cole,Miami 82 (Remixes),2014-05-08,latin
Maaya,Achtabahn,Maaya,2016-09-30,latin
Don't Say A Word,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
"Jennie (feat. R. City, Bori)",2S56F6bIk01HboGbJJJ1IQ,I,37i9dQZF1DX0AMssoUKCz7
Tripping Off,Kungs,Layers,2016-11-04,latin
Dancer (Kygo Remix),Didrik Thulin,Dancer (Kygo Remix),2013-12-17,latin
Sun Don't Shine,Klangkarussell,Netzwerk (Deluxe),2014-07-28,latin
Oh Baby,Seizo,The Bearded Man - Beards On The Beach (Ibiza 2016),2016-06-17,latin
Fires (feat. Scarlett Quinn),Tim Arisu,Fires (feat. Scarlett Quinn),2016-10-07,latin
Fireproof - Embody Remix,Coleman Hell,Fireproof (Embody Remix),2016-08-05,latin
Own the Night,Tropixx,Own the Night,2016-10-13,latin
The Sweetest Sin,RÆVE,The Sweetest Sin,2015-04-26,latin
No Diggity,Campsite Dream,No Diggity,2016-09-23,latin
Stuck On You,On June,Stuck On You,2016-07-15,latin
Ocean Drive,Duke Dumont,Ocean Drive,2015-07-31,latin
If You're Hearing This,Hook N Sling,If You're Hearing This,2017-06-30,latin
Call Me Over,Dusky Grey,Call Me Over,2017-06-30,latin
World Can Wait,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
The Sun - Klingande Remix Radio Edit,Parov Stelar,The Sun (Klingande Remix),2015,latin
Looking For Love,Nick Martin,Looking For Love,2016-05-27,latin
Forever And A Day - LVNDSCAPE Remix,Bolier,Forever And A Day,2015-10-16,latin
Home (feat. Nico Santos) - Marcapasos Radio Remix,Topic,Home (feat. Nico Santos) [The Remixes],2016-04-22,latin
On My Side,Hounded,On My Side (feat. Savoi),2017-05-05,latin
Safe and Sound - Radio Edit,NLSN,Safe and Sound (Radio Edit),2016-09-09,latin
Old Man,Andrelli,Old Man,2017-04-07,latin
Running Out - Samuraii Remix,Matoma,Running Out Remix EP,2016-05-13,latin
Fall At Your Feet,Lucy Neville,Fall At Your Feet,2016-11-11,latin
Summer on You,Sam Feldt,Summer on You,2016-06-10,latin
Feels Like Home - Radio Edit,The Him,Feels Like Home,2016-05-06,latin
Montrose Ave,Y.V.E. 48,Montrose Ave,2016-02-16,latin
Journey - Radio Mix,BUNT.,Journey,2014-09-26,latin
Little Do You Know,Campsite Dream,Little Do You Know,2017-05-05,latin
Almost Mine - Radio Edit,Wankelmut,Almost Mine (Radio Edit),2017-04-21,latin
Fade Away,Sam Feldt,Sunrise To Sunset,2017-11-24,latin
Set The World (On Fire),Flatdisk,Set The World (On Fire),2016-08-22,latin
Younger - Kygo Remix,Seinabo Sey,Pretend,2015-10-23,latin
From Me To You - Edit,Yolanda Be Cool,From Me To You,2016-03-09,latin
When It's Over,Sebastien,When It's Over,2016-12-09,latin
Been A While,Sam Feldt,Been A While EP,2016-02-05,latin
Parecen Viernes,Marc Anthony,OPUS,2019-05-10,latin
Tu Cariñito,Puerto Rican Power,2 Grandes de la Salsa Vol. 4,2008-11-11,latin
La Mejor Versión de Mi - Remix,Natti Natasha,La Mejor Versión de Mi (Remix),2019-10-04,latin
Amor A Primera Vista,Los Angeles Azules,Amor A Primera Vista,2019-06-14,latin
Yo No Sé Mañana,Luis Enrique,Ciclos,2009-05-19,latin
Tu Vida en la Mía,Marc Anthony,Tu Vida en la Mía,2019-02-21,latin
Conteo Regresivo - Salsa Version,Gilberto Santa Rosa,Contraste En Salsa,2008-07-21,latin
Talento De Televisión,Willie Colón,Mis Favoritas,2010-06-07,latin
Nunca Es Suficiente,Los Angeles Azules,Esto Sí Es Cumbia,2018-06-08,latin
Kitipun,Juan Luis Guerra 4.40,Kitipun,2019-04-05,latin
Tu Amor Me Hace Bien - Salsa Version,Marc Anthony,Valio La Pena,2004-07-27,latin
Me Tengo Que Ir,Adolescent's Orquesta,"Salsa Classics, Vol. 1",37i9dQZF1DWYey22ryYM8U
Que Locura Enamorarme De Ti,Eddie Santiago,Pura Salsa,2006-01-01,latin
Inmortal,Aventura,Utopia,2019-04-05,latin
Vivir Bailando,Silvestre Dangond,Vivir Bailando,2019-01-25,latin
Lo Que Te Di,Marc Anthony,OPUS,2019-05-10,latin
Fabricando Fantasías - Salsa Version,Tito Nieves,Oro Salsero,2010-01-01,latin
Qué Hay de Malo,Jerry Rivera,Oro Salsero,1990,latin
Oye Mujer,Raymix,Oye Mujer,2018-04-24,latin
El Gran Varon,Willie Colón,Willie Colon - Greatest Hits,2009,latin
Adicto (feat. Marc Anthony),Prince Royce,Adicto (feat. Marc Anthony),2018-11-16,latin
Hasta Viejitos (feat. Carlos Vives),Alejandro Gonzalez,Hasta Viejitos (feat. Carlos Vives),2019-09-06,latin
Si Tú No Estás,Gente De Zona,En Letra de Otro,2018-10-26,latin
"La Plata (Los Ángeles Azules Remix) (Feat. Los Ángeles Azules, Lalo Ebratt)",0ybT81ASDfAvIFKoWWPVr8,La Plata (Los Ángeles Azules Remix),37i9dQZF1DWYey22ryYM8U
Cosas Bonitas,Grupo Niche,Cosas Bonitas,2019-06-07,latin
Qué Precio Tiene el Cielo - Salsa Version,Marc Anthony,Sigo Siendo Yo,2006-06-30,latin
Hoja En Blanco,Monchy & Alexandra,Hoja En Blanco,2007-02-05,latin
Loma de Cayenas,Vicente Garcia,Candela,2019-05-24,latin
La Demanda,Romeo Santos,Utopia,2019-04-05,latin
Morir Solo,Prince Royce,Morir Solo,2019-08-30,latin
La rebelion,Joe Arroyo,Sabor a Salsa,2007-05-12,latin
Cántalo,Ricky Martin,Cántalo,2019-11-12,latin
Corazón Enamorado,Juan Luis Guerra 4.40,Corazón Enamorado,2019-04-26,latin
Canalla,Romeo Santos,Utopia,2019-04-05,latin
"Oiga, Mire,64,0MMzGqy6fMEb6ktGTuxEm2,Paraiso Tropical
No Te Contaron Mal,You Salsa,No Te Contaron Mal,2019-01-28,latin
Vallenato Apretao,Silvestre Dangond,Vallenato Apretao,2019-10-25,latin
Mil Horas,La Sonora Dinamita,"Greatest Cumbia Classics Of Colombia, Vol. 2",37i9dQZF1DWYey22ryYM8U
Mis Sentimientos,Los Angeles Azules,Cómo Te Voy A Olvidar ¡Edición De Súper Lujo!,2015-10-16,latin
El Malo,Aventura,The Last,2009-06-09,latin
Payasos,Romeo Santos,Utopia,2019-04-05,latin
Eres Mi Sueño,Septeto Acarey,Acarey Ya Llegó,2017-02-13,latin
Te Quiero a Morir,Ralphy Dreamz,Te Quiero a Morir,2018-07-30,latin
Dos Locos,Monchy & Alexandra,Exitos Y Mas,2006-11-14,latin
Lloraras,Oscar D'León,15 Exitos De- Oscar D Leon,1996-02-28,latin
Yo También,Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition)",37i9dQZF1DWYey22ryYM8U
Frágil,Reynier Perez,Enamórate Bailando,2018-04-09,latin
Tiene Espinas El Rosal,Grupo Cañaveral De Humberto Pabón,"Grupo Cañaveral, Vol. III",37i9dQZF1DWYey22ryYM8U
El Mentiroso,Gente De Zona,El Mentiroso,2019-03-08,latin
Añoranza,Luis Enrique,Tiempo Al Tiempo,2019-05-24,latin
Sobredosis (feat. Ozuna),Romeo Santos,Golden,2017-07-21,latin
Cariñito,Lila Downs,Cariñito,2019-04-05,latin
Carmesí,Vicente Garcia,A la Mar,2016-08-26,latin
Sin Tu Amor,Mr. Don,Sin Tu Amor,2019-02-08,latin
Soltero,Grupo Niche,Soltero,2019-09-20,latin
Con los Ojos Cerrados,Milly Quezada,Milly & Company,2019-05-24,latin
Tú Con Él,Frankie Ruiz,Tú Me Vuelves Loco (Baile Total),2017-11-24,latin
La Película II,Yan Collazo,Salsa Premier,2019-10-04,latin
Vamos a Escapar - Salsa Version,Alvaro Rod,Vamos a Escapar,2019-02-08,latin
Adiós Amor,Daniela Darcourt,Adiós Amor,2018-10-01,latin
Tan Buena,Gente De Zona,OTRA COSA,2019-05-24,latin
Besos de Amor,Guayacán Orquesta,Besos de Amor,2019-08-09,latin
Lo Que Yo Quiero,Maía,Lo Que Yo Quiero,2019-11-15,latin
Como Se Perdona,You Salsa,Como Se Perdona,2018-11-09,latin
Mala,Mr. Don,Deluxe,2018-02-09,latin
La Dueña del Swing,Los Hermanos Rosario,Latino! Greatest Hits - 56 Latin Top Hits (Original Versions!),2009-12-01,latin
Como la Manigua,Yuri Buenaventura,Manigua,2018-11-30,latin
Enamórate Bailando,Septeto Acarey,Enamórate Bailando,2019-02-08,latin
Donde Estabas Anoche,Aymee Nuviola,Donde Estabas Anoche,2019-01-25,latin
Ahí Ahí,Vicente Garcia,Candela,2019-05-24,latin
Tu Eres Ajena,Frank Reyes,Amor En Silencio,2006,latin
Culpable - Remix / Versión Salsa,Tutto Duran,Culpable (Remix / Versión Salsa),2019-08-15,latin
Propuesta Indecente,Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition)",37i9dQZF1DWYey22ryYM8U
Amantes - Versión Salsa,Greeicy,Amantes (Versión Salsa),2017-12-24,latin
En Barranquilla Me Quedo,Joe Arroyo,32 Cañonazos,2015-07-01,latin
Noches de Fantasía - Salsa Mix,Roberto Antonio,Noches de Fantasía (Remixes),2019-10-25,latin
Ella Me Besó,Elvis Crespo,Ella Me Besó,2018-11-29,latin
Amor De Una Noche (feat. Julio Voltio) - Remix Version,N'Klabe,I Love Salsa (re-release),2005-10-18,latin
Cada Dia Que Pasa,Guayacán Orquesta,Sentimental de Punta a Punta,1990-01-01,latin
Soñé Contigo,Anddy Caicedo,Soñé Contigo,2019-06-14,latin
El Afortunado,Septeto Acarey,El Afortunado,2019-05-17,latin
Cachondea,Fruko Y Sus Tesos,Power Salsa,2015-07-01,latin
Mentirosa,Rafaga,Imparables,1998-01-01,latin
Un Beso de Su Boca,Maía,Un Beso de Su Boca,2018-05-25,latin
Mas de Mi,Tony Succar,Mas De Mi,2019-05-24,latin
Quítame Ese Hombre,Gaby Zambrano,Quítame Ese Hombre,2017-07-01,latin
Tu Falta de Querer,Son Tentacion,Nuestra Historia,2018-10-19,latin
Ay De Mi,Luis Enrique,Tiempo Al Tiempo,2019-05-24,latin
Perdóname,You Salsa,Perdóname,2019-09-27,latin
El Que Siempre Soñó,Issac Delgado,El Que Siempre Soñó,2019-06-21,latin
Me Enamoro Mas de Ti,Tony Succar,Mas De Mi,2019-05-24,latin
Se Me Perdio La Cadenita,La Sonora Dinamita,Paradas Continuas,2010-02-01,latin
Alucinado,Jose Carlos Garcia,Alucinado,2019-08-16,latin
Candela,Vicente Garcia,Candela,2019-04-12,latin
Tiburon,Proyecto Uno,El Poder de la Música,1998-08-25,latin
Años Luz,Romeo Santos,Utopia,2019-04-05,latin
Abusadora,Oro Solido,Todos Exitos,2004-04-27,latin
La Carretera,Prince Royce,FIVE (Deluxe Edition),2017-02-24,latin
El Tren del Sabor,Tony Succar,Mas De Mi,2019-05-24,latin
Lo Que Tú y Yo Vivimos (feat. Gente de Zona) - Ao Vivo,Gusttavo Lima,O Embaixador in Cariri - Vol. 1 (Ao Vivo),2019-10-04,latin
Me Sale Bien,Pachará,Me Sale Bien,2019-04-12,latin
Un Bossa +,Zoe Gotusso,Un Bossa +,2019-01-11,latin
Ricocó,Ø Suave,Ricocó,2019-02-22,latin
Solo Le Dije,Kevin Johansen,Algo Ritmos,2019-04-26,latin
Siempre Tan Ron,Vicente Cifuentes,Siempre Tan Ron,2018-11-23,latin
